,id,name,is_closed,url,review_count,categories,rating,latitude,longitude,address1,address2,address3,city,state,zip_code,price
0,YVERvPBMurED_1yWtigJQw,Salt Kitchen & Bar,False,https://www.yelp.com/biz/salt-kitchen-and-bar-ship-bottom?adjust_creative=4eucNo6rT7PNhkEzgMEKJQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4eucNo6rT7PNhkEzgMEKJQ,72,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.0,39.6527240135516,-74.1827478672119,350 W 8th St,,,Ship Bottom,NJ,08008,
1,uMNgVdpOI22QFTkxaVo9sA,The Beach House Restaurant,False,https://www.yelp.com/biz/the-beach-house-restaurant-beach-haven-terrace?adjust_creative=4eucNo6rT7PNhkEzgMEKJQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4eucNo6rT7PNhkEzgMEKJQ,101,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.0,39.585813,-74.223744,13015 Long Beach Blvd,,,Beach Haven Terrace,NJ,08008,$$$
2,uBMQXMgvK1iVdmS4CglCKA,Ship Bottom Shellfish,False,https://www.yelp.com/biz/ship-bottom-shellfish-ship-bottom?adjust_creative=4eucNo6rT7PNhkEzgMEKJQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4eucNo6rT7PNhkEzgMEKJQ,294,"[{'alias': 'seafood', 'title': 'Seafood'}]",4.0,39.6443336,-74.1802819,1721 Long Beach Blvd,,,Ship Bottom,NJ,08008,$$
3,QKhSd92X3EF8fComzbA45w,The Chicken or the Egg,False,https://www.yelp.com/biz/the-chicken-or-the-egg-beach-haven?adjust_creative=4eucNo6rT7PNhkEzgMEKJQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4eucNo6rT7PNhkEzgMEKJQ,912,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.5,39.5646712,-74.2389658,207 N Bay Ave,,,Beach Haven,NJ,08008,$$
4,fstH18hKRdg5LLtocV8G_A,The Arlington,False,https://www.yelp.com/biz/the-arlington-ship-bottom?adjust_creative=4eucNo6rT7PNhkEzgMEKJQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4eucNo6rT7PNhkEzgMEKJQ,344,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'seafood', 'title': 'Seafood'}]",3.5,39.6464704060192,-74.1779790620256,1302 Long Beach Blvd,,,Ship Bottom,NJ,08008,$$$
5,Sag_fxcfHYQz50DMZIYAmw,The Local Market & Kitchen,False,https://www.yelp.com/biz/the-local-market-and-kitchen-ship-bottom?adjust_creative=4eucNo6rT7PNhkEzgMEKJQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4eucNo6rT7PNhkEzgMEKJQ,147,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.0,39.6513692696299,-74.1755733266473,604 Central Ave,,,Ship Bottom,NJ,08008,$$
6,eDWwN2p9cZWXR_GBns8uHA,Daddy O Restaurant,False,https://www.yelp.com/biz/daddy-o-restaurant-brant-beach-2?adjust_creative=4eucNo6rT7PNhkEzgMEKJQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4eucNo6rT7PNhkEzgMEKJQ,247,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'bars', 'title': 'Bars'}]",3.5,39.6299571,-74.1908815,4401 Long Beach Blvd,,,Brant Beach,NJ,08008,$$
7,M0FYV4q2MnTYedsRIx5Qyw,Parker's Garage & Oyster Saloon,False,https://www.yelp.com/biz/parkers-garage-and-oyster-saloon-beach-haven?adjust_creative=4eucNo6rT7PNhkEzgMEKJQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4eucNo6rT7PNhkEzgMEKJQ,248,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.0,39.56623,-74.2447,116 Northwest Ave,,,Beach Haven,NJ,08008,$$$
8,7qcFKPnWDmkdgLx5V7qpyg,Russo's Italian Restaurant,False,https://www.yelp.com/biz/russos-italian-restaurant-ship-bottom?adjust_creative=4eucNo6rT7PNhkEzgMEKJQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4eucNo6rT7PNhkEzgMEKJQ,55,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'desserts', 'title': 'Desserts'}]",4.0,39.645941,-74.179031,1415 Long Beach Blvd,,,Ship Bottom,NJ,08008,$$
9,-2iJ2MJ2z2aZwXmeoKDrog,La Bamba Mexican Restaurant,False,https://www.yelp.com/biz/la-bamba-mexican-restaurant-brant-beach?adjust_creative=4eucNo6rT7PNhkEzgMEKJQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4eucNo6rT7PNhkEzgMEKJQ,131,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'latin', 'title': 'Latin American'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.0,39.63573,-74.18714,3200 Long Beach Blvd,,,Brant Beach,NJ,08008,$$
